title,text,subject,source,date,label
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,CNN,2022-06-20,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2022-04-04,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2020-01-27,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2021-05-18,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2021-11-26,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,politics,Unknown Blog,2021-02-01,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2020-10-24,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2022-07-05,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,BBC,2021-02-13,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,BBC,2020-10-26,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,NY Times,2021-06-07,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,politics,Unknown Blog,2022-01-16,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,tech,Unknown Blog,2021-10-15,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,Reuters,2021-07-03,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2022-07-04,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2021-02-09,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,Reuters,2020-10-04,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,economy,Unknown Blog,2021-04-02,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2020-08-14,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,politics,Unknown Blog,2020-10-31,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2020-05-16,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-09-18,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-10-18,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,health,Unknown Blog,2022-01-22,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2022-01-19,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,economy,Unknown Blog,2021-11-15,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,Reuters,2021-10-28,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,Reuters,2020-06-10,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,world,Unknown Blog,2020-08-26,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2021-12-10,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,tech,Unknown Blog,2021-07-01,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,economy,Unknown Blog,2022-07-30,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,BBC,2022-04-27,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,NY Times,2021-08-22,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2020-09-16,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2022-05-26,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2022-04-12,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-02-10,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,BBC,2020-08-25,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2020-04-08,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,BBC,2020-10-20,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,politics,Unknown Blog,2021-03-01,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2021-06-03,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,BBC,2020-06-03,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,tech,Unknown Blog,2021-02-16,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2022-08-19,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,world,Unknown Blog,2020-01-12,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2020-09-12,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,health,Unknown Blog,2020-05-21,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,CNN,2020-11-29,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,health,Unknown Blog,2021-10-31,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2020-03-19,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,world,Unknown Blog,2020-06-05,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,NY Times,2022-02-01,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,Reuters,2020-05-03,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2021-06-06,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,CNN,2022-02-26,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2021-08-02,1
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,health,Unknown Blog,2022-03-23,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,world,Unknown Blog,2021-03-20,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,politics,Unknown Blog,2020-08-17,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,CNN,2020-11-07,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,economy,Unknown Blog,2020-04-19,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2022-07-04,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,CNN,2021-01-16,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2021-07-19,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,health,Unknown Blog,2021-11-29,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,NY Times,2021-08-19,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,tech,Unknown Blog,2021-06-09,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,BBC,2022-09-12,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,NY Times,2021-09-29,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,economy,Unknown Blog,2021-03-13,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,tech,Unknown Blog,2020-12-08,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,world,Unknown Blog,2020-04-05,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2021-09-01,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2022-07-16,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2020-03-06,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2020-02-22,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,politics,Unknown Blog,2020-07-23,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,NY Times,2021-11-12,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,Reuters,2021-12-13,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,world,Unknown Blog,2021-09-10,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,NY Times,2021-09-19,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,NY Times,2021-11-18,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,world,Unknown Blog,2022-08-21,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,NY Times,2022-09-09,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,NY Times,2022-06-26,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,CNN,2021-11-26,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,Reuters,2022-06-07,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,health,Unknown Blog,2020-05-18,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,health,Unknown Blog,2021-01-17,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,economy,Unknown Blog,2020-07-19,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,NY Times,2020-04-14,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,health,Unknown Blog,2022-07-09,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2020-09-23,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,tech,Unknown Blog,2021-01-23,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,BBC,2022-02-25,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,economy,Unknown Blog,2021-07-22,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,NY Times,2022-05-13,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2022-07-25,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,health,Unknown Blog,2021-07-30,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2021-07-17,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2021-09-15,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,economy,Unknown Blog,2021-10-01,1
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,world,Unknown Blog,2021-04-29,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,world,Unknown Blog,2021-02-28,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2022-07-03,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,world,Unknown Blog,2020-09-01,1
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,health,Unknown Blog,2021-11-19,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,Reuters,2022-02-16,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2021-11-14,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2022-09-14,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,NY Times,2022-03-19,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,NY Times,2021-03-25,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,health,Unknown Blog,2022-01-25,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,BBC,2021-03-06,0
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,economy,Unknown Blog,2021-02-01,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,NY Times,2021-03-15,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,tech,Unknown Blog,2022-05-13,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,Reuters,2022-08-08,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2022-04-19,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,world,Unknown Blog,2022-04-01,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,BBC,2021-02-12,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,tech,Unknown Blog,2022-01-05,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,CNN,2021-03-23,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2021-03-24,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,world,Unknown Blog,2020-11-14,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,politics,Unknown Blog,2020-04-01,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,economy,Unknown Blog,2020-04-18,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,BBC,2020-11-06,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2020-02-27,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2022-06-06,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2021-03-16,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,BBC,2020-11-27,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,world,Unknown Blog,2020-01-12,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-02-27,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,NY Times,2022-08-11,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,Reuters,2021-01-04,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,tech,Unknown Blog,2022-09-06,1
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,health,Unknown Blog,2021-11-05,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,NY Times,2021-01-22,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,economy,Unknown Blog,2022-03-10,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,BBC,2021-12-24,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,Reuters,2020-01-24,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,BBC,2021-07-05,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2022-03-28,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,economy,Unknown Blog,2022-07-27,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,Reuters,2021-03-29,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,economy,Unknown Blog,2020-07-08,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2021-10-15,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,tech,Unknown Blog,2020-10-12,1
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,tech,Unknown Blog,2020-03-09,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,NY Times,2020-08-07,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,CNN,2021-07-31,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2021-08-13,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,economy,Unknown Blog,2021-11-08,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,CNN,2020-09-27,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,health,Unknown Blog,2021-02-13,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,health,Unknown Blog,2021-08-24,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,CNN,2020-09-07,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,BBC,2022-04-12,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,Reuters,2021-03-19,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,health,Unknown Blog,2022-04-22,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,Reuters,2021-12-17,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,NY Times,2021-09-14,0
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,politics,Unknown Blog,2021-10-16,1
