title,text,subject,source,date,label
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2021-08-31,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,Reuters,2020-11-17,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,health,Unknown Blog,2021-09-15,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,CNN,2021-05-13,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,BBC,2020-10-08,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,NY Times,2020-06-29,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,NY Times,2022-04-12,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,CNN,2021-10-31,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,Reuters,2021-02-25,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,CNN,2022-01-27,0
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,health,Unknown Blog,2021-09-07,1
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,world,Unknown Blog,2022-01-12,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,world,Unknown Blog,2022-06-17,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2020-07-27,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,world,Unknown Blog,2020-12-02,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,CNN,2020-03-15,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,health,Unknown Blog,2022-09-15,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2021-01-15,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,NY Times,2020-04-19,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,CNN,2020-07-01,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,CNN,2021-04-06,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,BBC,2021-02-19,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,BBC,2021-01-28,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,politics,Unknown Blog,2022-07-17,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,CNN,2021-07-20,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,politics,Unknown Blog,2021-04-18,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,NY Times,2020-10-17,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,health,Unknown Blog,2021-03-05,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,NY Times,2020-12-01,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2021-07-22,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2022-03-22,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,health,Unknown Blog,2022-01-27,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,CNN,2022-09-14,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,world,Unknown Blog,2021-09-26,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,tech,Unknown Blog,2020-06-23,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,CNN,2022-03-25,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2020-09-20,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,NY Times,2022-03-08,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,BBC,2021-01-13,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,politics,Unknown Blog,2020-07-15,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2022-04-25,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,NY Times,2020-09-22,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,politics,Unknown Blog,2020-01-30,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2022-06-06,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,BBC,2020-03-07,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,NY Times,2021-05-24,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,world,Unknown Blog,2020-01-08,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,tech,Unknown Blog,2020-11-29,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,politics,Unknown Blog,2020-10-25,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,economy,Unknown Blog,2021-09-08,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,tech,Unknown Blog,2021-10-03,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,BBC,2020-11-10,0
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,health,Unknown Blog,2021-05-15,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-08-17,0
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,economy,Unknown Blog,2021-10-05,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,tech,Unknown Blog,2020-09-14,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,politics,Unknown Blog,2020-02-19,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,Reuters,2021-11-24,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,world,Unknown Blog,2020-07-15,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,health,Unknown Blog,2021-11-08,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2021-03-24,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,Reuters,2020-03-14,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2021-02-05,0
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,politics,Unknown Blog,2022-01-28,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2020-05-03,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2022-04-25,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-08-09,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,CNN,2020-06-23,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-04-04,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,economy,Unknown Blog,2020-05-13,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,Reuters,2021-01-17,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,CNN,2022-03-02,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,NY Times,2021-01-17,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2021-07-05,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,CNN,2022-07-08,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,BBC,2020-02-18,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,NY Times,2022-06-05,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,health,Unknown Blog,2022-06-07,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,NY Times,2021-04-10,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,tech,Unknown Blog,2020-11-14,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,Reuters,2020-06-24,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,politics,Unknown Blog,2020-03-17,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2022-07-08,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,CNN,2020-09-07,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2020-04-09,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,Reuters,2022-06-25,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2020-06-26,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,politics,Unknown Blog,2022-03-21,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,politics,Unknown Blog,2022-04-03,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,Reuters,2020-12-16,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,politics,Unknown Blog,2020-08-17,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,BBC,2021-01-09,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,world,Unknown Blog,2022-03-02,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,economy,Unknown Blog,2021-05-22,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,politics,Unknown Blog,2020-12-16,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,world,Unknown Blog,2020-03-14,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2022-05-07,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,tech,Unknown Blog,2021-01-11,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,politics,Unknown Blog,2022-09-22,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,health,Unknown Blog,2020-07-04,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,NY Times,2022-08-23,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,NY Times,2020-08-26,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,economy,Unknown Blog,2020-05-25,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2021-07-20,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,CNN,2021-03-27,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,politics,Unknown Blog,2022-04-15,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,world,Unknown Blog,2022-08-24,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,NY Times,2021-05-31,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,CNN,2022-05-22,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,world,Unknown Blog,2020-12-18,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,CNN,2021-11-25,0
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,tech,Unknown Blog,2021-06-11,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,NY Times,2022-05-07,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,world,Unknown Blog,2020-02-22,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,Reuters,2021-10-19,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,tech,Unknown Blog,2021-04-02,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,tech,Unknown Blog,2020-07-26,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,BBC,2021-09-13,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2021-11-06,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,CNN,2020-11-14,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2021-10-19,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2021-04-26,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,economy,Unknown Blog,2021-11-06,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2020-11-06,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,tech,Unknown Blog,2021-05-28,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,health,Unknown Blog,2020-01-07,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,world,Unknown Blog,2021-08-21,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,BBC,2022-07-23,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-02-03,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,economy,Unknown Blog,2020-12-06,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,BBC,2021-11-12,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,NY Times,2020-12-20,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,health,Unknown Blog,2021-01-03,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,economy,Unknown Blog,2020-03-15,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,politics,Unknown Blog,2022-03-01,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2020-04-22,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2022-04-11,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,CNN,2020-11-14,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,CNN,2020-10-22,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,CNN,2022-05-31,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,NY Times,2020-11-10,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2022-06-16,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,Reuters,2020-09-20,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2020-11-01,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,NY Times,2022-08-04,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2020-04-09,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2021-02-08,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,tech,Unknown Blog,2022-08-23,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,politics,Unknown Blog,2020-12-01,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,world,Unknown Blog,2020-03-23,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,economy,Unknown Blog,2021-07-10,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2020-08-07,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,economy,Unknown Blog,2021-12-25,1
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,health,Unknown Blog,2022-02-03,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2020-05-15,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,economy,Unknown Blog,2021-09-03,1
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,politics,Unknown Blog,2022-01-24,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,BBC,2022-06-02,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2022-07-02,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,health,Unknown Blog,2021-07-02,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,Reuters,2021-07-13,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,Reuters,2020-03-15,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,CNN,2022-08-09,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,health,Unknown Blog,2021-08-01,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2021-04-10,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,world,Unknown Blog,2022-05-10,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2020-05-09,1
