title,text,subject,source,date,label
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,Reuters,2021-07-12,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,tech,Unknown Blog,2021-03-16,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,NY Times,2020-02-17,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,tech,Unknown Blog,2021-04-04,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,Reuters,2022-07-05,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,economy,Unknown Blog,2021-06-30,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,CNN,2020-05-28,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,NY Times,2022-02-18,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,world,Unknown Blog,2020-03-17,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,NY Times,2021-05-19,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,politics,Unknown Blog,2020-04-13,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,NY Times,2020-07-31,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,world,Unknown Blog,2021-06-20,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,Reuters,2020-01-27,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,Reuters,2021-03-15,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,BBC,2021-09-24,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,BBC,2020-03-08,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,CNN,2021-05-15,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,NY Times,2020-02-19,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,CNN,2020-03-11,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,NY Times,2020-11-26,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,CNN,2022-08-23,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,health,Unknown Blog,2020-09-14,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,CNN,2020-02-21,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,economy,Unknown Blog,2021-07-14,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,BBC,2020-07-27,0
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,tech,Unknown Blog,2020-03-03,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,NY Times,2022-08-21,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,health,Unknown Blog,2020-06-28,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,CNN,2022-03-19,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,world,Unknown Blog,2021-03-15,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2021-05-15,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,BBC,2021-04-20,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,BBC,2021-07-14,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,tech,Unknown Blog,2022-04-04,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,politics,Unknown Blog,2021-08-25,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,economy,Unknown Blog,2022-01-18,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,BBC,2022-09-09,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,CNN,2020-05-07,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,BBC,2021-06-10,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2020-04-02,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,politics,Unknown Blog,2020-09-03,1
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,tech,Unknown Blog,2020-07-04,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2022-03-17,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,Reuters,2020-09-24,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,BBC,2020-05-01,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,economy,Unknown Blog,2020-02-05,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,economy,Unknown Blog,2021-07-04,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,Reuters,2022-08-21,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2022-06-04,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,politics,Unknown Blog,2021-12-12,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,politics,Unknown Blog,2021-07-10,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,CNN,2022-04-07,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,BBC,2022-01-02,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,politics,Unknown Blog,2020-12-24,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2022-08-29,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,world,Unknown Blog,2021-10-11,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,world,Reuters,2022-02-26,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,economy,Unknown Blog,2021-10-25,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,NY Times,2020-05-12,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2021-02-11,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,economy,Unknown Blog,2020-12-11,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2020-05-18,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2020-10-11,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,economy,Unknown Blog,2020-11-23,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,CNN,2020-04-15,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,NY Times,2021-10-19,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2021-12-26,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2020-01-21,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,economy,Unknown Blog,2021-01-04,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2020-05-30,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,Reuters,2021-05-21,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2020-08-11,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,economy,Unknown Blog,2020-06-02,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,Reuters,2021-08-10,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,tech,Unknown Blog,2020-12-21,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,NY Times,2022-06-04,0
Hidden Agenda Revealed,Hidden Agenda Revealed breaking details inside.,world,Unknown Blog,2020-07-28,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,NY Times,2020-04-20,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,health,Unknown Blog,2021-11-27,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,NY Times,2022-02-08,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,economy,Unknown Blog,2021-06-13,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,economy,Unknown Blog,2022-09-19,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,Reuters,2020-01-11,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2020-01-01,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,politics,Unknown Blog,2021-07-09,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,Reuters,2021-05-01,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,Reuters,2022-07-02,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,BBC,2022-09-10,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,CNN,2020-11-20,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,Reuters,2022-06-01,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,Reuters,2020-09-11,0
Hidden Agenda Revealed,Hidden Agenda Revealed amazing details inside.,tech,Unknown Blog,2021-12-02,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2021-11-23,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,politics,Unknown Blog,2020-06-26,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,economy,BBC,2021-03-05,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,tech,Unknown Blog,2022-01-12,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,NY Times,2022-02-25,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,politics,Unknown Blog,2020-08-03,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,health,Unknown Blog,2021-06-20,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,Reuters,2020-05-26,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,world,Unknown Blog,2021-02-23,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2021-09-15,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,BBC,2020-07-27,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,health,Unknown Blog,2022-09-03,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,NY Times,2022-09-07,0
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,BBC,2021-01-08,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,NY Times,2020-05-31,0
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,politics,Unknown Blog,2020-03-23,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,health,Unknown Blog,2020-07-19,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,health,Unknown Blog,2021-11-30,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,politics,Unknown Blog,2021-09-26,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,CNN,2020-05-06,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2021-09-12,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,politics,Unknown Blog,2021-04-04,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2021-08-03,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,tech,NY Times,2022-06-27,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,health,Unknown Blog,2021-03-25,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2021-06-30,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,Reuters,2022-06-05,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,CNN,2021-03-05,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-03-08,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2021-01-04,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2021-10-31,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,BBC,2022-01-20,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2020-06-13,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,politics,CNN,2020-10-29,0
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,Reuters,2020-12-08,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,politics,Unknown Blog,2021-05-25,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,economy,Unknown Blog,2022-05-21,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,NY Times,2022-07-21,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,world,Unknown Blog,2021-08-28,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,health,Unknown Blog,2020-10-25,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,politics,Unknown Blog,2020-01-30,1
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,NY Times,2020-12-04,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics amazing details inside.,health,Unknown Blog,2021-03-26,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2021-07-27,1
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,health,Unknown Blog,2021-05-16,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2022-02-24,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,politics,BBC,2022-05-06,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2020-03-16,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,CNN,2020-07-25,0
Hidden Agenda Revealed,Hidden Agenda Revealed exclusive details inside.,health,Unknown Blog,2020-12-15,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,world,BBC,2020-07-27,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2022-04-10,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe shocking details inside.,tech,Unknown Blog,2022-08-11,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,CNN,2021-02-04,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,tech,Unknown Blog,2021-01-17,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,health,Unknown Blog,2020-03-10,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2020-12-17,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,BBC,2020-01-17,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,tech,Unknown Blog,2022-09-06,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,economy,CNN,2022-04-01,0
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,politics,Unknown Blog,2022-09-16,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,health,Unknown Blog,2020-12-18,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,CNN,2022-07-20,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,health,Unknown Blog,2022-03-20,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,BBC,2021-06-03,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,health,Unknown Blog,2021-05-31,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,world,Unknown Blog,2021-04-26,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,CNN,2021-05-16,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,world,Unknown Blog,2021-01-08,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,Reuters,2022-08-16,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,world,Unknown Blog,2022-05-24,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2020-10-24,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,tech,BBC,2021-07-10,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,health,Unknown Blog,2020-12-01,1
